Love is too precious to be ashamed of.,Laurell K. Hamilton,A Stroke of Midnight,"{'happiness', 'inspirational', 'romance', 'love'}"
He was the toast to her butter.,Nicholas Sparks,The Lucky One,{'love'}
The more boys I meet the more I love my dog.,Carrie Underwood,,{'love'}
Hate looks like everybody else until it smiles,Tahereh Mafi,,"{'inspirational', 'love'}"
Tears are words the heart can't express,Gerard Way,,"{'life', 'love'}"
Every life has one true love snapshot.,Mitch Albom,The Five People You Meet in Heaven,{'love'}
Sweets to the sweet.,William Shakespeare,Hamlet,"{'love', 'death'}"
Life is a gift. Don't forget to live it.,Nicola Yoon,Everything,"{'life', 'inspirational', 'love'}"
Know that love is truly timeless.,Mary M. Ricksen,,"{'romance', 'love'}"
We're all golden sunflowers inside.,Allen Ginsberg,,"{'happiness', 'love'}"
Love makes us such fools.,Leslye Walton,The Strange and Beautiful Sorrows of Ava Lavender,{'love'}
What's a fuck when what I want is love?,Henry Miller,,{'love'}
"I love you,"" I said, and stabbed him.",Sarah J. Maas,A Court of Thorns and Roses,{'love'}
"When someone blushes, doesn't that mean 'yes'?",Antoine de Saint-Exupéry,The Little Prince,{'love'}
How can something so wrong feel so right?,Tabitha Suzuma,Forbidden,{'love'}
I don't think you can define love.,Harry Styles,,{'love'}
It's hard to love a woman and do anything.,Leo Tolstoy,Anna Karenina,{'love'}
There will never be no love at all.,Bob Marley,,{'love'}
I love you and it's getting worse.,Joseph E. Morris,,"{'humor', 'love'}"
"I believe in love the verb, not the noun.",Greg Behrendt,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,{'love'}
I...will never...regret you.,Colleen Hoover,Maybe Someday,{'love'}
There is no charm equal to tenderness of heart.,Jane Austen,,{'love'}
Love is a rebellious bird that nobody can tame.,Veronica Rossi,Through the Ever Night,"{'romance', 'love'}"
I don't let nobody see me wishin' he was mine,Taylor Swift,,{'love'}
"When you know my love, my love will warm you.",Ruby Dee,,{'love'}
Love is—a shade of what I feel.,Renee Ahdieh,The Wrath and the Dawn,{'love'}
I needed him like I'd never needed anyone.,Becca Fitzpatrick,Crescendo,{'love'}
A weed is but an unloved flower.,Ella Wheeler Wilcox,,{'love'}
You have my whole heart. You always did.,Cormac McCarthy,The Road,{'love'}
Love is a possible strength in an actual weakness.,Thomas Hardy,Far from the Madding Crowd,{'love'}
Men build too many walls and not enough bridges.,Joseph Fort Newton,,"{'inspirational', 'love'}"
A woman should soften but not weaken a man.,Sigmund Freud,,{'love'}
Love me like you'll never see me again.,Alicia Keys,,{'love'}
Physical love is unthinkable without violence.,Milan Kundera,The Unbearable Lightness of Being,"{'romance', 'love'}"
He is ugly and sad... but he is all love.,Gabriel García Márquez,Love in the Time of Cholera,{'love'}
Living simply makes loving simple.,bell hooks,,{'love'}
Physics isn't the most important thing. Love is.,Richard Feynman,,"{'philosophy', 'love'}"
Love those you hate you.,Leo Tolstoy,Anna Karenina,"{'inspirational', 'love'}"
Why is the measure of love loss?,Jeanette Winterson,Why Be Happy When You Could Be Normal?,{'love'}
"In love, one and one are one.",Jean-Paul Sartre,,{'love'}
None of us can choose where we shall love...,Susan  Kay,Phantom,"{'passion', 'love'}"
For she had eyes and chose me.,William Shakespeare,Othello,{'love'}
We are asleep until we fall in Love!,Leo Tolstoy,War and Peace,{'love'}
Hearts Live By Being Wounded,Oscar Wilde,,{'love'}
Eternity is in love with the productions of time.,William Blake,The Marriage of Heaven and Hell,"{'time', 'love'}"
You are my butterfly and refuse to set you free.,Shannon Hale,,{'love'}
Love as thou wilt,Jacqueline Carey,Kushiel's Chosen,{'love'}
"But everyone disappears, no matter who loves them.",Dave Eggers,What Is the What,{'love'}
"But, my God, it's so beautiful when the boy smiles",Anna Nalick,,"{'romance', 'love'}"
Love simply is.,Paulo Coelho,The Witch Of Portobello,{'love'}
Soul meets soul on lovers lips.,Percy Bysshe Shelley,,{'love'}
Sometimes I get real lonely sleeping with you.,Haruki Murakami,A Wild Sheep Chase,{'love'}
Love is a drama of contradictions.,Franz Kafka,,{'love'}
I think Heaven will be like a first kiss.,Sarah Addison Allen,The Sugar Queen,{'love'}
"If we’re going to kiss, it has to be book-worthy.",Colleen Hoover,November 9,{'love'}
Love! Love until the night collapses!,Pablo Neruda,Machu Picchu,{'love'}
twice I have lived forever in a smile,E.E. Cummings,,"{'poetry', 'love'}"
Self-talk reflects your innermost feelings.,Asa Don Brown,,"{'joy', 'humanity', 'spirituality', 'love'}"
"Everything I know, I know because of love.",Leo Tolstoy,War and Peace,{'love'}
Do not allow me to forget you,Gabriel García Márquez,Of Love and Other Demons,{'love'}
Everything that happens to you matters to me.,Cassandra Clare,City of Fallen Angels,{'love'}
How 'bout a shot of truth in that denial cocktail.,Jennifer Salaiz,,"{'truth', 'love'}"
"And I didn't choose it, Kat. I chose you.",Ally Carter,Heist Society,"{'happiness', 'love'}"
Love comforteth like sunshine after rain.,William Shakespeare,The Complete Sonnets and Poems,{'love'}
"Love didn't make you weak, it made you stronger.",Cassandra Clare,City of Glass,{'love'}
A kiss may ruin a human life,Oscar Wilde,,"{'life', 'love'}"
I like being the girl nobody can have.,Miley Cyrus,,{'love'}
Sometimes loneliness makes the loudest noise.,Aaron Ben-Ze'ev,,{'love'}
A real relationship is two-way.,Sophie Kinsella,Can You Keep a Secret?,"{'romance', 'love'}"
Love never dies.,Lauren Kate,Torment,{'love'}
Everything is clearer when you're in love.,John Lennon,,{'love'}
Love is keeping the promise anyway.,John Green,The Fault in Our Stars,{'love'}
"If music be the food of love, play on.",William Shakespeare,Twelfth Night,{'love'}
"To wish was to hope, and to hope was to expect",Jane Austen,Sense and Sensibility,"{'hope', 'love'}"
Till I loved I never lived.,Emily Dickinson,,{'love'}
True love is born from understanding.,Gautama Buddha,,{'love'}
"From the stars, to the stars.",Renee Ahdieh,The Rose & the Dagger,{'love'}
Are those the only options? Nothing or forever?,Sarah Dessen,This Lullaby,{'love'}
Under loves heavy burden do I sink.--Romeo,William Shakespeare,Romeo and Juliet,{'love'}
Love fades. Mine has.,Richelle Mead,Spirit Bound,{'love'}
What barrier is there that love cannot break?,Mahatma Gandhi,The Story of My Experiments With Truth,{'love'}
"You said move on, where do I go?",Katy Perry,,{'love'}
Love cannot live where there is no trust.,Edith Hamilton,Mythology: Timeless Tales of Gods and Heroes,{'love'}
Without love we all like birds with broken wings.,Mitch Albom,Tuesdays with Morrie,{'love'}
"I gave you my heart, but it wasn't enough.",Simone Elkeles,Return to Paradise,{'love'}
"Sometimes, remembering hurts too much.",Jess Rothenberg,The Catastrophic History of You and Me,{'love'}
Waiting is erotic,Irène Némirovsky,Suite Française,"{'romance', 'love'}"
"Love, and you shall be loved.",Ralph Waldo Emerson,,{'love'}
Love was the most savage monster of all.,Rick Riordan,The House of Hades,{'love'}
"Choice or no, my heart is his.",Beth Revis,A Million Suns,{'love'}
Not like this. He wanted it to be real.,Suzanne Collins,Catching Fire,{'love'}
I just don't see why the past has to matter.,Cassandra Clare,City of Fallen Angels,{'love'}
I want my world to start and end with you.,E.L. James,Fifty Shades of Grey,{'love'}
I want him to love me as much as I love him.,L.J. Smith,The Awakening,"{'hope', 'romance', 'love'}"
"It isn't about love,"" Vee said. ""It's about fun.",Becca Fitzpatrick,Hush,{'love'}
He is the cheese to my macaroni.,Diablo Cody,Juno: The Shooting Script,{'love'}
Just knowing you exist changed the world for me.,Tiffanie DeBartolo,God-Shaped Hole,{'love'}
To love makes one solitary.,Virginia Woolf,Mrs. Dalloway,{'love'}
We all know interspecies romance is weird.,Tim Burton,,"{'romance', 'love'}"
"Three years? That's a thousand tomorrows, ma'am.",Karen Kingsbury,,"{'romance', 'love'}"
Don’t marry him. Don’t be with him. Be with me.,Jenny Han,We'll Always Have Summer,{'love'}
Kids chase the love that eludes them.,Mitch Albom,For One More Day,{'love'}
"You were the sun, and I was crashing into you.",Rainbow Rowell,Carry On,{'love'}
It is impossible to manufacture or imitate love.,J.K. Rowling,Harry Potter and the Half-Blood Prince,"{'romance', 'love'}"
"AnatasiaYou Are My More My Love, My LifeChristian",E.L. James,Fifty Shades Freed,{'love'}
"Real love finds you once, if you're lucky.",Ellen Hopkins,Burned,{'love'}
Where is Aelin. Where is my wife?,Sarah J. Maas,Empire of Storms,{'love'}
"Lift your hips for me, love.",Tahereh Mafi,Ignite Me,"{'god', 'love'}"
"I can hate you more, but I'll never love you less.",Michael Morpurgo,War Horse,{'love'}
Time is how you spend your love.,Zadie Smith,,{'love'}
Love heals scars love left,Henry Rollins,The Portable Henry Rollins,{'love'}
What you are to do without me I cannot imagine.,George Bernard Shaw,Pygmalion,{'love'}
One heart cannot serve two masters.,Robin LaFevers,Grave Mercy,{'love'}
Because...because...she came here with me.,Suzanne Collins,The Hunger Games,{'love'}
Let this hell be our heaven.,Richard Matheson,What Dreams May Come,{'love'}
"Love, that moves the sun and the other stars",Dante Alighieri,Paradiso,{'love'}
Love is the only future God offers.,Victor Hugo,Les Misérables,"{'god', 'love'}"
To long a sacrifice can make a stone of a heart,W.B. Yeats,,{'love'}
Happiness is the china shop love is the bull. ,H.L. Mencken,,{'love'}
Ronan's second secret was Adam Parrish.,Maggie Stiefvater,The Dream Thieves,{'love'}
"If I love you, is that a fact or a weapon?",Margaret Atwood,Power Politics,{'love'}
"Time has no meaning,Love will endure..",Jude Deveraux,,"{'time', 'love'}"
I am yours.Don't give myself back to me.,Jalaluddin Rumi,,{'love'}
Love at first sight is easy to understand,Amy Bloom,,{'love'}
A wonderful gift may not be wrapped as you expect.,Jonathan Lockwood Huie,,{'love'}
"A heart, once stolen, can never be taken back.",Marissa Meyer,Heartless,{'love'}
"I've never wanted more, until I met you.",E.L. James,Fifty Shades of Grey,{'love'}
Language is the key to the heart of people.,Ahmed Deedat,,"{'people', 'religion', 'christian', 'love'}"
"Peace,love,empathy",Kurt Cobain,,{'love'}
LOVE is a friendship set to music,E. Joseph Cossman,,{'love'}
What will survive of us is love.,Philip Larkin,The Whitsun Weddings,"{'love', 'death'}"
I'm as cruel as life. As cruel as love.,L.J. Smith,The Forbidden Game,"{'life', 'love'}"
There is peace even in the storm,Vincent van Gogh,The Letters of Vincent van Gogh,{'love'}
Your inner strength is your outer foundation,Allan Rufus,,"{'inspirational', 'self-help', 'quotes', 'motivation', 'love'}"
"Love, too, has to be learned.",Friedrich Nietzsche,The Gay Science,{'love'}
Love is the most selfish of all the passions.,Alexandre Dumas,The Three Musketeers,{'love'}
Any time not spent on love is wasted.,Torquato Tasso,,"{'time', 'romance', 'love'}"
People die. Love endures.,Rick Yancey,The Infinite Sea,{'love'}
A man is only as good as what he loves.,Saul Bellow,,{'love'}
You can’t fool people into loving you.,Chuck Palahniuk,Choke,{'love'}
The Artist always has the masters in his eyes.,Ralph Waldo Emerson,,"{'love', 'work'}"
Love needs room to grow. Like a rose. Or a tumor.,Christopher Moore,Fool,{'love'}
In love there are two things - bodies and words. ,Joyce Carol Oates,,{'love'}
I'd shut the whole world down just to tell you,Rob Sheffield,Love Is a Mix Tape,{'love'}
"For awhile, I thought that was love.-Gaara",Masashi Kishimoto,,{'love'}
Love is larger than the walls which shut it in.,Corrie ten Boom,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,{'love'}
"Because of a great love, one is courageous.",Lao Tzu,,{'love'}
Your heart can break at any age.,Cecelia Ahern,,{'love'}
Maybe 'Okay' will be our 'always'...,John Green,The Fault in Our Stars,"{'inspirational', 'romance', 'love'}"
"I'd sleep outside naked in the blizzard,for you.",Ellen Hopkins,Impulse,{'love'}
Something that is yours forever is never precious,Chaim Potok,My Name Is Asher Lev,"{'life', 'love'}"
Everything you can imagine is real.,Pablo Picasso,,"{'life', 'inspirational'}"
Some infinities are bigger than other infinities.,John Green,The Fault in Our Stars,{'life'}
Reality continues to ruin my life.,Bill Watterson,The Complete Calvin and Hobbes,"{'humor', 'life'}"
"Death ends a life, not a relationship.",Mitch Albom,Tuesdays with Morrie,"{'life', 'death'}"
You cannot find peace by avoiding life.,Michael Cunningham,The Hours,{'life'}
May you live every day of your life.,Jonathan Swift,,"{'wisdom', 'life', 'inspirational', 'philosophy'}"
Get busy living or get busy dying.,Stephen King,Different Seasons,{'life'}
"Tell the truth, or someone will tell it for you.",Stephanie Klein,Straight Up and Dirty,"{'humor', 'truth', 'life'}"
Unbeing dead isn't being alive.,E.E. Cummings,,"{'poetry', 'life', 'death'}"
"Life is to be enjoyed, not endured",Gordon B. Hinckley,,{'life'}
"The more I see, the less I know for sure.",John Lennon,,"{'truth', 'life'}"
I go to seek a Great Perhaps.,François Rabelais,,"{'life', 'death'}"
Live to the point of tears.,Albert Camus,,{'life'}
To say goodbye is to die a little.,Raymond Chandler,The Long Goodbye,{'life'}
I've got nothing to do today but smile.,Paul Simon,,"{'happiness', 'life'}"
Even death has a heart.,Markus Zusak,The Book Thief,"{'life', 'death'}"
The past has no power over the present moment.,Eckhart Tolle,,"{'life', 'inspirational', 'wisdom', 'truth', 'philosophy', 'education'}"
"In a time of destruction, create something.",Maxine Hong Kingston,,"{'hope', 'life'}"
You can have it all. Just not all at once.,Oprah Winfrey,,"{'time', 'life'}"
Anxiety is the dizziness of freedom.,Søren Kierkegaard,The Concept of Anxiety: A Simple Psychologically Orienting Deliberation on the Dogmatic Issue of Hereditary Sin,"{'life', 'fear'}"
You get what anybody gets - you get a lifetime.,Neil Gaiman,Preludes & Nocturnes,{'life'}
Maybe this world is another planet’s hell.,Aldous Huxley,,{'life'}
"It is not the length of life, but the depth.",Ralph Waldo Emerson,,{'life'}
Ordinary life is pretty complex stuff.,Harvey Pekar,,"{'writing', 'life'}"
Living is Easy with Eyes Closed.,John Lennon,,{'life'}
"After all, tomorrow is another day!",Margaret Mitchell,Gone with the Wind,{'life'}
"Death is Peaceful, Life is Harder",Stephenie Meyer,Twilight,"{'life', 'death'}"
You are not rich until you have a rich heart.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'inspirational', 'positive-thinking'}"
"Whoever saves one life, saves the world entire.",Thomas Keneally,Schindler's List,"{'humanity', 'life'}"
One lives in the hope of becoming a memory.,Antonio Porchia,,"{'hope', 'life', 'death'}"
Do not fear failure but rather fear not trying.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'life-philosophy', 'motivation', 'positive-thinking', 'motivational'}"
Simplicity is the keynote of all true elegance.,Coco Chanel,,{'life'}
But how could you live and have no story to tell?,Fyodor Dostoyevsky,White Nights,{'life'}
She burned too bright for this world.,Emily Brontë,Wuthering Heights,{'life'}
It's better to burn out than to fade away.,Neil Young,,"{'life', 'death'}"
Happiness depends on your mindset and attitude.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'happiness', 'inspiration', 'life', 'life-quotes', 'inspiring', 'inspirational', 'positive-thinking'}"
The meaning of life is that it stops.,Franz Kafka,,"{'life', 'death'}"
You're on Earth. There's no cure for that.,Samuel Beckett,,{'life'}
"Who says life is fair, where is that written?",William Goldman,The Princess Bride,{'life'}
Smile more. Smiling can make you and others happy.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'happiness', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'positive-thinking'}"
When you can live forever what do you live for?,Stephenie Meyer,,{'life'}
Life's as kind as you let it be.,Charles Bukowski,Hot Water Music,"{'truth', 'life'}"
"Time takes it all, whether you want it to or not.",Stephen King,The Green Mile,"{'time', 'life'}"
"My life didn't please me, so I created my life.",Coco Chanel,,{'life'}
Action expresses priorities.,Mahatma Gandhi,,{'life'}
"Great leaders create more leaders, not followers.",Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'inspirational', 'motivation', 'motivational'}"
"You cannot change what you are, only what you do.",Philip Pullman,The Golden Compass,{'life'}
"No! Try not. Do, or do not. There is no try.",George Lucas,The Star Wars Trilogy,"{'life', 'humor', 'inspirational', 'philosophy'}"
Be the positive impact on the lives of others.,Roy T. Bennett,,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
The best of us must sometimes eat our words.,J.K. Rowling,,{'life'}
The person you became with her is worth being.,Veronica Roth,Allegiant,{'life'}
Cynics are simply thwarted romantics.,William Goldman,The Princess Bride,"{'humor', 'writing', 'life'}"
To perceive is to suffer.,Aristotle,,{'life'}
Life will not break your heart. It'll crush it.,Henry Rollins,,{'life'}
People say that eyes are windows to the soul.,Khaled Hosseini,The Kite Runner,"{'life', 'inspirational'}"
Our life is what our thoughts make it.,Marcus Aurelius,Meditations,"{'life', 'inspirational'}"
"When things go wrong, don't go with them.",Elvis Presley,,{'life'}
To travel is to live.,Hans Christian Andersen,The Fairy Tale of My Life: An Autobiography,{'life'}
Even for me life had its gleams of sunshine.,Charlotte Brontë,Jane Eyre,{'life'}
"When life gives you lemons, chunk it right back.",Bill Watterson,,"{'humor', 'life'}"
Don’t wait for things to happen. Make them happen.,Roy T. Bennett,,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
Hardships make or break people.,Margaret Mitchell,Gone with the Wind,"{'life', 'courage'}"
What you stay focused on will grow.,Roy T. Bennett,,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
Gratitude builds a bridge to abundance.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
"When a man cannot choose, he ceases to be a man.",Anthony Burgess,A Clockwork Orange,{'life'}
Your life is an occasion. Rise to it.,Suzanne Weyn,Mr. Magorium's Wonder Emporium,"{'inspiration', 'life'}"
Art is the proper task of life. ,Friedrich Nietzsche,,"{'life', 'inspirational'}"
No one here gets out alive.,Jim Morrison,,"{'life', 'death'}"
Life is a tapestry woven by the decisions we make.,Sherrilyn Kenyon,Kiss of the Night,{'life'}
"Be happy, but never satisfied.",Bruce Lee,,{'life'}
Those who hurt others will also hurt themselves.,Natsuki Takaya,,{'life'}
"You were born to stand out, stop trying to fit in.",Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'life-philosophy', 'motivation', 'positive-thinking', 'motivational'}"
The beautiful is always bizarre.,Charles Baudelaire,,{'life'}
We are unusual and tragic and alive.,Dave Eggers,,{'life'}
"Your ""I CAN"" is more important than your IQ.",Robin S. Sharma,The Monk Who Sold His Ferrari,{'life'}
No one has ever achieved greatness without dreams.,Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
"Life is hard. After all, it kills you.",Katharine Hepburn,Me: Stories of My Life,{'life'}
But we can't go back. We can only go forward.,Libba Bray,,{'life'}
Enjoy life. There's plenty of time to be dead.,Hans Christian Andersen,,"{'time', 'life', 'death'}"
Art is to console those who are broken by life.,Vincent van Gogh,,{'life'}
"Stay strong, stay positive, and never give up.",Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
You can get all A's and still flunk life.,Walker Percy,The Second Coming,{'life'}
People rarely bring flowers to a suicide.,Jennifer Niven,All the Bright Places,"{'life', 'death'}"
Life is problems. Living is solving problems.,Raymond E. Feist,Silverthorn,"{'truth', 'life'}"
"You are -- your life, and nothing else.",Jean-Paul Sartre,No Exit,{'life'}
All knowledge is worth having.,Jacqueline Carey,Kushiel's Dart,"{'life', 'inspiration', 'philosophy'}"
"When you make a choice, you change the future.",Deepak Chopra,,"{'wisdom', 'life'}"
A boo is a lot louder than a cheer.,Lance Armstrong,,{'life'}
Live fast. Die young. Be wild. Have fun.,Lana Del Rey,,"{'life', 'inspirational'}"
"Change course, but don’t give up.",Roy T. Bennett,The Light in the Heart,"{'inspirational-quotes', 'inspiration', 'life', 'life-quotes', 'inspiring', 'life-lessons', 'inspirational', 'motivation', 'positive-thinking', 'motivational'}"
A joke is a very serious thing.,Winston S. Churchill,,"{'humor', 'life'}"
Let all of life be an unfettered howl.,Vladimir Nabokov,,"{'passion', 'life'}"
